id,name,slot,rarity,description,effects
ring_of_vigor,Ring of Vigor,Accessory,Uncommon,"A simple ring that seems to warm the wearer.",HP_FLAT:15
amulet_of_the_marksman,Amulet of the Marksman,Accessory,Uncommon,"Helps the wearer aim true.",ATTACK_FLAT:2
troll-hide_bracers,Troll-hide Bracers,Accessory,Uncommon,"These tough bracers slowly mend themselves... and their wearer.",HP_REGEN:0.2
clockwork_targeting_system,Clockwork Targeting System,Accessory,Rare,"A complex series of lenses and gears that helps identify weak points in enemies.",ATTACK_PERCENT:0.10;BONUS_DMG_VS_SKIRMISHER:0.2
heartstone_pendant,Heartstone Pendant,Accessory,Rare,"A fragment of a Heartstone that beats with a slow, steady rhythm, bolstering the life force of the wearer.",HP_PERCENT:0.15
ring_of_regeneration,Ring of Regeneration,Accessory,Rare,"A magical ring that constantly works to close the wearer's wounds.",HP_REGEN:0.5
eye_of_the_watcher_shard,Eye of the Watcher Shard,Accessory,Epic,"A shard from the great monolith. It grants its wearer a fraction of its precognitive abilities.",DEFENSE_PERCENT:0.10;FIRST_STRIKE_CHANCE:0.33
dragonscale_shield,Dragonscale Shield,Accessory,Epic,"A shield crafted from a single, massive dragon scale. It is incredibly light and nearly indestructible.",HP_FLAT:50;DEFENSE_PERCENT:0.15
crown_of_the_lich_lord,Crown of the Lich Lord,Accessory,Legendary,"Malakor's crown, which holds a fragment of his vast intellect and power.",ATTACK_PERCENT:0.20;HP_PERCENT:0.20
item_ancient_cog,Ancient Cog,None,Uncommon,"A perfectly preserved gear from a forgotten automaton. It hums with latent energy."
item_dragon_heartscale,Dragon Heartscale,None,Epic,"A scale taken from near a dragon's heart. It is incredibly durable and warm to the touch."
item_flux_in_a_bottle,Flux-in-a-Bottle,None,Rare,"A swirling vortex of raw magic contained in a reinforced vial. Highly unstable."
item_map_to_nowhere,Map to Nowhere,None,Common,"An ancient, incomplete map that seems to change every time you look away."
